#⃣	Teclas: #|Teclas
*⃣	Teclas: *|Teclas
0⃣	tecla mayús: 0|0|cero|tecla mayús
1⃣	tecla mayús: 1|1|tecla mayús|uno
2⃣	tecla mayús: 2|2|dos|tecla mayús
3⃣	tecla mayús: 3|3|tecla mayús|tres
4⃣	tecla mayús: 4|4|cuatro|tecla mayús
5⃣	tecla mayús: 5|5|cinco|tecla mayús
6⃣	tecla mayús: 6|6|seis|tecla mayús
7⃣	tecla mayús: 7|7|siete|tecla mayús
8⃣	tecla mayús: 8|8|ocho|tecla mayús
9⃣	tecla mayús: 9|9|nueve|tecla mayús
‐	guion
–	guion corto|guion
—	raya|guion largo
―	barra horizontal|barra|guion|línea
‘	apóstrofe izquierdo|apóstrofe|comillas|comillas simples
’	apóstrofo derecho|apóstrofe|comillas|comillas simples
‚	apóstrofe derecho bajo|apóstrofo|comillas|comillas bajas
“	comillas dobles izquierdas|comillas|comillas de apertura|comillas dobles
”	comillas dobles derechas|comillas|comillas alemanas|comillas de cierre|comillas dobles
„	comillas dobles derechas bajas|comillas|comillas alemanas|comillas de apertura|comillas dobles
†	signo de daga|daga|obelisco
‡	signo de daga doble|daga|doble|obelisco
•	viñeta|punto
…	puntos suspensivos|elipsis|omisión
‧	punto de unión con guion|guion|punto
‰	por mil|tanto por mil
′	prima
″	doble prima|prima
‴	triple prima|prima
‸	intercalación|caret
※	marca de referencia|asterisco japonés|omejirushi
‼	exclamación doble|exclamación|puntuacion|puntuación|signo
‽	exclarrogativo|interrobang
‾	línea superpuesta|superposición|vinculum
⁂	asterismo|estrellas|tres asteriscos
⁄	barra de fracción|fracción|trazo
⁉	exclamación e interrogación|!|!?|?|exclamación|interrogación|pregunta|símbolo
⁻	menos en superíndice|menos|superíndice
₡	colón costarricense
₢	cruceiro|BRB|divisa
₣	franco francés|divisa|franco|FRF
₤	lira|divisa
₥	mill|mil
₦	naira nigeriano
₧	peseta española
₨	rupia|divisa
₩	won|KPW|KRW
₪	nuevo séquel israelí
₫	dong vietnamita
€	euro|divisa|EUR|moneda
₭	kip laosiano
₮	tugrik mongol
₰	penique alemán|divisa|penique|pfennig
₱	peso
₲	guaraní paraguayo
₳	austral|ARA|divisa
₴	grivna ucraniana
₵	cedi ghanés
₶	libra tornesa|divisa
₷	spesmilo|divisa
₸	tenge kazajo
₹	rupia india|divisa|moneda|rupia
₺	lira turca
₼	manat azerbaiyano
₽	rublo|divisa|moneda
₾	lari georgiano
₿	bitcoin|bitcóin|BTC
℗	copyright de grabación de sonido|copyright|grabación|sonido
™	marca comercial|marca|registrada|signo|signo de marca comercial|símbolo|símbolo de marca comercial|símbolo de marca registrada|trademark
ℹ	información|i|oficina|símbolo
←	flecha apuntando hacia la izquierda|apuntar|flecha|hacia la izquierda|izquierda
↑	flecha apuntando hacia arriba|apuntar|arriba|flecha|hacia arriba
→	flecha apuntando hacia la derecha|apuntar|derecha|flecha|hacia la derecha
↓	flecha apuntando hacia abajo|abajo|apuntar|flecha|hacia abajo
↔	flecha izquierda y derecha|derecha|dirección|flecha|izquierda
↕	flecha arriba y abajo|abajo|arriba|flecha
↖	flecha hacia la esquina superior izquierda|arriba|flecha|flecha esquina izquierda|flecha hacia esquina izquierda arriba|izquierda|noroeste
↗	flecha hacia la esquina superior derecha|arriba|derecha|dirección|flecha esquina derecha|flecha hacia esquina derecha arriba|noreste
↘	flecha hacia la esquina inferior derecha|abajo|derecha|flecha|flecha esquina derecha|flecha hacia esquina derecha abajo|sudeste
↙	flecha hacia la esquina inferior izquierda|abajo|flecha|flecha esquina izquierda|flecha hacia esquina izquierda abajo|izquierda|suroeste
↚	flecha hacia la izquierda tachada|flecha|izquierda|tachada
↛	flecha hacia la derecha tachada|derecha|flecha|tachada
↜	flecha de onda hacia la izquierda|flecha|izquierda|onda
↝	flecha de onda hacia la derecha|derecha|flecha|onda
↞	flecha de doble punta hacia la izquierda|doble|flecha|izquierda|punta
↟	flecha de doble punta hacia arriba|arriba|doble|flecha|punta
↠	flecha de doble punta hacia la derecha|derecha|doble|flecha|punta
↡	flecha de doble punta hacia abajo|abajo|doble|flecha|punta
↢	flecha hacia la izquierda con cola|cola|flecha|izquierda
↣	flecha hacia la derecha con cola|cola|derecha|flecha
↤	flecha hacia la izquierda desde barra|barra|flecha|izquierda
↥	flecha hacia arriba desde barra|arriba|barra|flecha
↦	flecha hacia la derecha desde barra|barra|derecha|flecha
↧	flecha hacia abajo desde barra|abajo|barra|flecha
↨	flecha arriba abajo con base|abajo|arriba|base|flecha
↩	flecha derecha curvándose a la izquierda|curva|dirección|flecha|izquierda
↪	flecha izquierda curvándose a la derecha|curva|derecha|dirección|flecha
↫	flecha hacia la izquierda con bucle|bucle|flecha|izquierda
↬	flecha hacia la derecha con bucle|bucle|derecha|flecha
↭	flecha de onda hacia la izquierda y la derecha|derecha|flecha|izquierda|onda
↮	flecha hacia la izquierda y la derecha tachada|derecha|flecha|izquierda|tachada
↯	flecha en zigzag hacia abajo|abajo|flecha|zigzag
↰	flecha hacia arriba con punta hacia la izquierda|arriba|flecha|izquierda|punta
↱	flecha hacia arriba con punta hacia la derecha|arriba|derecha|flecha|punta
↲	flecha hacia abajo con punta hacia la izquierda|abajo|flecha|izquierda|punta
↳	flecha hacia abajo con punta hacia la derecha|abajo|derecha|flecha|punta
↴	flecha hacia abajo con punta hacia la esquina derecha
↵	flecha hacia abajo con punta hacia la esquina izquierda
↶	flecha en semicírculo superior hacia la izquierda|flecha|izquierda|semicírculo|superior
↷	flecha en semicírculo superior hacia la derecha|derecha|flecha|semicírculo|superior
↸	flecha hacia noroeste con barra
↹	flecha hacia la izquierda con barra sobre flecha hacia la derecha con barra|barra|derecha|flecha|izquierda|sobre
↺	círculo abierto con flecha en sentido antihorario|abierto|antihorario|círculo|flecha|sentido
↻	círculo abierto con flecha en sentido horario|abierto|círculo|flecha|horario|sentido
